,Unnamed: 0,Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
0,0,Henrik Stenson,60.0,75.19,2018,291.5,73.51,29.93,60.67,69.617,0.0,5.0,-0.207,1.153,0.427,0.96,-0.027,2680487
1,1,Ryan Armour,109.0,73.58,2018,283.5,68.22,29.31,60.13,70.758,1.0,3.0,-0.0579999999999999,0.337,-0.012,0.213,0.1939999999999999,2485203
2,2,Chez Reavie,93.0,72.24,2018,286.5,68.67,29.12,62.27,70.432,0.0,3.0,0.192,0.674,0.183,0.437,-0.1369999999999999,2700018
3,3,Ryan Moore,78.0,71.94,2018,289.2,68.8,29.17,64.16,70.015,0.0,5.0,-0.271,0.941,0.406,0.532,0.273,1986608
4,4,Brian Stuard,103.0,71.44,2018,278.9,67.12,29.11,59.23,71.038,0.0,3.0,0.1639999999999999,0.062,-0.2269999999999999,0.099,0.026,1089763
5,5,Brian Gay,103.0,71.37,2018,282.9,64.52,28.25,63.26,70.28,0.0,6.0,0.442,0.565,-0.166,0.036,0.253,2152501
6,6,Kyle Stanley,93.0,71.29,2018,295.7,71.09,29.89,54.8,70.404,0.0,5.0,0.037,0.6859999999999999,0.3779999999999999,0.298,-0.027,3916001
7,7,Emiliano Grillo,94.0,70.16,2018,295.2,68.84,29.04,61.05,70.152,0.0,5.0,0.546,1.133,0.364,0.345,-0.122,2493163
8,8,Russell Henley,77.0,70.03,2018,293.0,68.77,29.8,54.33,70.48899999999999,0.0,3.0,0.1669999999999999,0.541,0.093,0.467,-0.186,1516438
9,9,Jim Furyk,50.0,69.91,2018,280.5,63.19,28.73,62.58,70.342,0.0,2.0,0.389,0.412,-0.392,0.179,0.235,660010
10,10,Steve Wheatcroft,60.0,69.79,2018,288.9,66.57,29.29,61.03,71.631,0.0,1.0,-0.128,-0.3389999999999999,0.1119999999999999,-0.065,-0.258,309656
11,11,Kevin Streelman,94.0,69.11,2018,295.1,71.56,29.67,60.93,70.436,0.0,5.0,-0.25,0.619,0.439,0.415,0.0139999999999999,1523642
12,12,C.T. Pan,104.0,68.98,2018,292.7,71.2,29.66,56.89,70.457,0.0,1.0,-0.067,0.478,0.215,0.267,0.063,1881787
13,13,David Lingmerth,82.0,68.93,2018,285.4,63.03,28.5,58.57,71.043,0.0,2.892091648189209,0.2289999999999999,-0.0069999999999999,0.006,-0.16,-0.081,616758
14,14,Keegan Bradley,98.0,67.9,2018,299.6,69.18,29.68,56.78,70.303,0.0,4.0,-0.358,0.7929999999999999,0.237,0.888,0.026,4069464
15,15,Rafa Cabrera Bello,75.0,67.85,2018,295.1,70.16,29.47,57.98,69.887,0.0,4.0,0.273,1.112,0.256,0.487,0.096,2449869
16,16,Billy Horschel,86.0,67.8,2018,295.4,71.75,29.46,58.03,70.154,1.0,3.0,0.392,1.112,0.5379999999999999,0.352,-0.1689999999999999,4315200
17,17,Russell Knox,94.0,67.7,2018,291.7,69.57,29.7,59.43,70.568,0.0,3.0,-0.088,0.3829999999999999,0.059,0.263,0.149,1424030
18,18,Ben Crane,65.0,67.52,2018,281.1,64.88,28.69,63.0,71.097,0.0,1.0,0.332,0.176,-0.302,-0.038,0.184,620646
19,19,Vaughn Taylor,83.0,67.51,2018,286.1,67.02,29.15,59.91,70.692,0.0,3.0,-0.08,0.2189999999999999,-0.005,0.305,-0.002,965691
20,20,Brian Harman,94.0,67.14,2018,291.9,67.59,29.29,56.95,70.536,0.0,8.0,0.273,0.29,0.1369999999999999,-0.024,-0.096,2733463
21,21,Sam Ryder,82.0,66.91,2018,297.3,72.08,29.88,56.47,70.914,0.0,3.0,-0.349,0.154,0.203,0.3989999999999999,-0.099,1046166
22,22,"Ted Potter, Jr.",87.0,66.83,2018,286.0,63.03,28.45,57.51,71.024,1.0,1.0,0.074,-0.094,-0.074,-0.2,0.105,1976198
23,23,Austin Cook,107.0,66.76,2018,292.3,66.51,28.72,62.02,70.469,1.0,3.0,0.315,0.569,0.12,-0.045,0.179,2448920
24,24,Tyler Duncan,97.0,66.74,2018,294.4,69.65,30.19,52.76,71.04,0.0,2.0,-0.5660000000000001,0.017,0.273,0.476,-0.166,944021
25,25,David Hearn,66.0,66.63,2018,285.1,68.89,29.58,55.65,71.325,0.0,2.0,-0.127,-0.031,-0.17,0.379,-0.113,622383
26,26,Alex Cejka,77.0,66.49,2018,286.7,63.77,28.52,64.0,70.675,0.0,2.0,0.009,0.312,-0.024,-0.1689999999999999,0.495,1198541
27,27,Ian Poulter,73.0,66.41,2018,293.6,67.01,28.97,57.11,70.593,1.0,4.0,0.223,0.85,0.141,0.435,0.051,2714450
28,28,Joel Dahmen,93.0,66.36,2018,295.8,68.82,29.26,63.31,70.578,0.0,3.0,-0.2769999999999999,0.4,0.3,0.381,-0.004,1476838
29,29,Kevin Kisner,89.0,66.33,2018,290.8,65.38,28.91,60.29,70.729,0.0,4.0,0.513,0.037,-0.043,-0.316,-0.118,2972285
30,30,J.J. Henry,81.0,66.22,2018,291.8,70.52,30.37,54.77,71.372,0.0,1.0,-0.569,-0.193,0.174,0.34,-0.138,482052
31,31,J.J. Spaun,85.0,66.18,2018,298.2,69.48,29.63,55.76,70.525,0.0,4.0,-0.149,0.292,0.286,0.41,-0.255,1978906
32,32,Justin Rose,70.0,66.02,2018,303.5,69.95,28.67,63.03,68.993,2.0,8.0,0.424,1.952,0.551,0.526,0.45,8130678
33,33,Kelly Kraft,94.0,65.84,2018,288.6,63.83,28.92,58.93,71.333,0.0,3.0,0.075,-0.32,-0.286,0.017,-0.126,1496253
34,34,Conrad Shindler,60.0,65.77,2018,291.3,66.27,29.14,60.0,71.465,0.0,2.892091648189209,-0.166,-0.313,0.114,-0.008,-0.252,187399
35,35,Scott Piercy,84.0,65.68,2018,296.6,69.72,29.86,55.96,70.736,1.0,2.0,-0.569,0.29,0.209,0.5529999999999999,0.0969999999999999,1882337
36,36,Adam Hadwin,92.0,65.6,2018,289.4,68.04,29.26,58.59,70.75,0.0,3.0,0.106,0.596,0.057,0.166,0.267,1932488
37,37,Ben Silverman,90.0,65.56,2018,290.2,64.95,28.74,57.36,71.281,0.0,2.0,0.238,-0.206,0.069,-0.385,-0.128,793140
38,38,Satoshi Kodaira,51.0,65.53,2018,293.6,60.3,29.88,51.02,72.182,1.0,1.0,-0.645,-1.832,0.027,-0.284,-0.93,1471462
39,39,Rickie Fowler,74.0,65.33,2018,299.8,69.52,28.99,63.05,69.435,0.0,4.0,0.296,1.275,0.244,0.494,0.242,4235237
40,40,Xinjun Zhang,81.0,65.33,2018,298.7,67.04,29.67,58.2,71.486,0.0,1.0,-0.437,-0.7340000000000001,0.139,-0.254,-0.182,420377
41,42,Pat Perez,82.0,65.09,2018,290.9,67.78,29.29,55.63,70.594,1.0,4.0,0.115,-0.048,-0.063,-0.138,0.037,2962641
42,43,Lucas Glover,65.0,65.06,2018,297.7,67.12,29.64,59.83,71.066,0.0,1.0,-0.186,0.276,0.514,-0.043,-0.008,789382
43,44,Richy Werenski,98.0,65.06,2018,291.8,66.97,29.36,56.49,71.185,0.0,2.0,-0.109,-0.124,0.077,-0.1689999999999999,0.077,1081283
44,45,Hunter Mahan,67.0,65.04,2018,296.9,68.96,29.02,58.81,71.135,0.0,1.0,0.346,0.209,0.465,-0.149,-0.4529999999999999,457337
45,46,Francesco Molinari,73.0,65.04,2018,301.0,70.24,29.63,58.67,69.797,2.0,4.0,-0.487,1.123,0.69,0.593,0.327,5065842
46,47,Fabián Gómez,88.0,64.99,2018,291.1,67.86,29.38,58.85,71.02,0.0,2.892091648189209,0.001,-0.106,-0.062,-0.015,-0.03,437032
47,48,Tommy Fleetwood,73.0,64.98,2018,306.9,69.36,29.3,55.77,69.342,0.0,5.0,0.324,1.606,0.58,0.405,0.296,3935147
48,49,Graeme McDowell,67.0,64.92,2018,293.2,64.5,29.2,59.95,71.001,0.0,1.0,0.478,0.6970000000000001,0.124,0.046,0.049,581024
49,50,Louis Oosthuizen,62.0,64.81,2018,299.8,65.74,29.24,64.26,70.157,0.0,3.0,-0.026,0.521,0.401,-0.261,0.408,1731493
50,51,Chad Campbell,87.0,64.7,2018,286.5,65.54,29.75,59.39,71.683,0.0,2.0,-0.4539999999999999,-0.484,-0.042,-0.01,0.023,801960
51,52,Blayne Barber,69.0,64.67,2018,294.7,69.98,29.66,57.46,70.835,0.0,2.892091648189209,-0.022,-0.0409999999999999,0.1009999999999999,-0.047,-0.073,398137
52,53,Michael Thompson,62.0,64.66,2018,296.4,70.11,29.62,55.77,70.92399999999999,0.0,2.892091648189209,0.498,0.052,-0.073,-0.423,0.05,563972
53,54,Chris Kirk,108.0,64.64,2018,289.8,68.24,28.9,63.53,70.411,0.0,4.0,0.073,0.732,-0.048,0.518,0.19,1824111
54,55,Daniel Berger,81.0,64.58,2018,297.7,66.89,29.42,58.94,70.32,0.0,1.0,0.319,0.816,0.1,0.5429999999999999,-0.145,1721763
55,56,Hudson Swafford,73.0,64.57,2018,302.8,68.99,30.03,54.01,71.619,0.0,2.892091648189209,-0.26,-0.492,0.225,-0.237,-0.221,569391
56,57,Bronson Burgoon,69.0,64.53,2018,302.8,68.44,29.55,55.61,70.70100000000001,0.0,2.0,0.107,0.481,0.309,0.371,-0.307,1179616
57,58,Brice Garnett,99.0,64.45,2018,296.7,66.78,29.34,58.63,71.018,1.0,2.0,-0.076,-0.31,0.188,-0.144,-0.278,1466224
58,59,Ryan Blaum,81.0,64.31,2018,289.0,66.1,29.13,55.46,70.993,0.0,2.0,0.025,-0.033,0.011,-0.074,0.005,980877
59,60,Johnson Wagner,75.0,64.25,2018,286.1,67.87,28.65,65.41,70.758,0.0,2.892091648189209,0.623,0.715,-0.213,0.078,0.226,656322
60,61,Kevin Na,91.0,64.13,2018,289.6,64.66,28.07,63.62,70.288,1.0,4.0,0.5329999999999999,0.8009999999999999,-0.3779999999999999,0.273,0.373,3578316
61,62,Zach Johnson,94.0,63.88,2018,289.8,67.43,28.62,62.35,69.911,0.0,2.0,0.206,1.035,-0.059,0.4629999999999999,0.425,1957635
62,63,John Huh,94.0,63.83,2018,287.1,65.8,28.82,57.94,70.718,0.0,2.0,0.1669999999999999,0.251,-0.11,0.24,-0.047,974538
63,64,James Hahn,85.0,63.73,2018,298.7,68.29,29.5,59.62,70.896,0.0,1.0,-0.152,0.2789999999999999,0.3229999999999999,0.081,0.0279999999999999,1386301
64,65,Rod Pampling,62.0,63.69,2018,288.4,62.64,29.31,56.67,72.445,0.0,2.892091648189209,-0.421,-1.094,-0.095,-0.415,-0.163,183806
65,66,Gary Woodland,96.0,63.69,2018,313.5,70.51,29.93,54.45,70.161,1.0,3.0,0.0069999999999999,1.0659999999999998,0.8029999999999999,0.484,-0.228,3108907
66,67,Cameron Percy,56.0,63.66,2018,295.6,69.56,29.36,57.3,70.90899999999999,0.0,2.0,-0.205,0.285,0.241,0.039,0.21,387612
67,68,Abraham Ancer,98.0,63.64,2018,296.1,66.49,28.91,62.69,70.65899999999999,0.0,4.0,-0.0559999999999999,0.32,0.325,0.074,-0.022,1676695
68,69,Ben Martin,64.0,63.52,2018,289.6,63.98,28.58,58.8,70.97399999999999,0.0,1.0,0.118,-0.001,-0.142,0.119,-0.096,532936
69,70,Branden Grace,67.0,63.49,2018,298.9,67.1,29.34,57.78,70.41199999999999,0.0,2.0,0.35,0.812,0.163,0.174,0.125,1529289
70,71,Denny McCarthy,71.0,63.45,2018,295.4,68.17,29.41,59.83,70.861,0.0,1.0,0.449,0.094,0.011,-0.347,-0.019,498341
71,72,Aaron Wise,90.0,63.33,2018,302.9,68.81,29.15,56.28,70.247,1.0,3.0,0.238,0.703,0.41,0.012,0.042,3486407
72,73,Jason Dufner,71.0,63.3,2018,297.1,64.24,29.58,58.25,71.32300000000001,0.0,2.0,-0.0579999999999999,0.011,0.256,-0.009,-0.178,1497655
